BRE0008	Goodyear Tires
BRE0040	The two most trusted words in meat... Swift's Premium
BRE0015	Pontiac, Success Car...'64 edition.
BRE0011	When It Rains, It Pours
BRE0003	For down-to-worth value!
BRE0018	More for your Money
BRE0028	Pure Pleasure
BRE0039	It leaves you breathless!
BRE0010	Morton Salt, When it Rains, It Pours
BRE0002	Milwaukee's Favorite Premium Beer
BRE0001	Keep your Car on the Go
BRE0038	New! Self-opening. Tried it yet?
BRE0026	Enjoy Early Times Kentucky Bourbon
BRE0019	Say Seagram's and be Sure
BRE0005	Fleischmann's is the BIG Buy..The First Taste Tells You Why
BRE0007	Guarantees your tires for as long as they have tread!
BRE0036	RC Serves 18 ...No Extra Cost
BRE0037	Get Your New S & H Green Stamp Catalog Today!
BRE0013	Now at Popular Prices
BRE0004	Chevrolet! The Great Highway Performer!
BRE0016	Fire Up
BRE0022	Now - Trade and Travel Time! Chevrolet
BRE0031	Heaston Rohla (dealer?)
BRE0035	Slow down... and play it safe with Popsicle
BRE0020	So Beautifully Different
BRE0024	Hottest Brand Going...Conoco!
BRE0006	New Ford Mustang
BRE0033	Enjoy New Mexico's Favorite...
BRE0025	Caps off for...Deep Rock
BRE0021	This Calls for Bud
BRE0017	Flavor, fresh from the home of quality
BRE0027	Happy Motoring!
BRE0012	Now at Popular Prices
BRE0014	Now at Popular Prices
BRE0034	Old Crow, America's Most Preferred Bourbon
BRE0009	Smooth as Silk    Kessler
BRE0030	Big Fresh Taste!
BRE0023	Refreshing New Feeling!
BRE0029	This is the one, Falstaff, America's Premium Quality Beer
BRE0032	The World's Three Great Beers
PAV0191	Beautiful Sunken Gardens
PAV0272	Untitled
PAV0301	people like it
PAV0052	Welcome Humble Service Station Managers
PAV0158	Untitled
PAV0121	Untitled
PAV0237	Untitled
PAV0230	Untitled
PAV0175	Untitled
PAV0266	San Miguel Beer
PAV0319	Untitled
PAV0233	Untitled
PAV0113	Untitled
PAV0312	Untitled
PAV0156	Come to Chevron Island!  Win Hula Dollars
PAV0279	Untitled
PAV0100	Untitled
PAV0203	Budweiser beer, Dodge cars, Old Style Lager (3 advertisements)
PAV0169	Smart Sacramento women cook with gas
PAV0146	Untitled
PAV0174	Untitled
PAV0047	Untitled
PAV0124	Untitled
PAV0227	Untitled
AAA4209	Captain Morgan Spiced Rum!
PAV0031	Untitled
PAV0278	Untitled
PAV0032	Untitled
PAV0289	Untitled
PAV0282	When You Can't Wait  To Eat
PAV0286	Corniest Flakes Anybody Makes
PAV0302	people like it
PAV0048	Untitled
PAV0212	Untitled
PAV0022	Untitled
PAV0007	Untitled
PAV0055	Try Total Performance
PAV0307	that Bud... that's beer!
PAV0323	Untitled
PAV0253	Bank?, Underberg wine or other alcoholic beverage, Libby's, [Tabac?], Cafe (coffee), various (6 advertisements)
PAV0324	Untitled
PAV0184	Untitled
PAV0287	Drink Pepsi Cola
PAV0257	See below
PAV0268	Men's Underwear, Mitsubishi fans? (2 advertisements)
PAV0155	R&R up to 50% off
PAV0087	Untitled
PAV0036	Untitled
PAV0313	Solves wait problems.
PAV0033	Untitled
PAV0205	Parkay Margarine, {Beer?}, Nash Rambler Club Sedan, Country Club Malt Liquor, Paint, Oreo, Various (7 advertisements)
PAV0306	that  [erased]... that's beer!
PAV0119	Untitled
PAV0038	Untitled
PAV0084	at Barlow's
PAV0206	Bread (2 advertisements)
PAV0170	Untitled
PAV0213	Untitled
PAV0105	Untitled
PAV0016	Untitled
PAV0108	Untitled
PAV0288	Untitled
PAV0207	Untitled
PAV0281	Untitled
PAV0309	Houston's hometown brewery
PAV0077	From the Country of 1100 Springs
PAV0088	Untitled
PAV0224	Untitled
PAV0057	Turn Here, 3 Miles
PAV0107	Untitled
PAV0171	Untitled
PAV0326	Untitled
PAV0056	Untitled
PAV0044	Untitled
PAV0247	Faite Pour la Vie Moderne
PAV0157	Untitled
PAV0053	Today's biggest bargain in long-lasting satisfaction
PAV0198	The Posting Zone Map
PAV0270	Victoria's Sugar
PAV0255	Profit from controlled savage power!
PAV0128	Untitled
PAV0211	Untitled
PAV0102	Untitled
PAV0291	Some Like It Hot
PAV0186	Untitled
PAV0026	Untitled
PAV0314	Untitled
PAV0001	What more can a Fellow Say?
PAV0014	Untitled
PAV0082	J.W. DANT KENTUCKY STRAIGHT BOURBON
PAV0293	Premium-Brewed... for that wonderful world of leisure
PAV0273	Untitled
PAV0177	Untitled
PAV0296	Hamm's. Refreshing... as the land of sky blue waters
PAV0005	Untitled
PAV0008	Untitled
PAV0274	Untitled
PAV0085	Untitled
PAV0202	Untitled
PAV0183	Untitled
PAV0178	Untitled
PAV0041	Untitled
PAV0258	Tractors, Gasoline (2 advertisements)
PAV0039	Untitled
PAV0028	Untitled
PAV0264	Insure With Great Pacific Life
PAV0229	Untitled
PAV0075	Make Christ a part of your Christmas
PAV0176	Untitled
PAV0115	Untitled
PAV0315	Untitled
PAV0144	Untitled
PAV0216	Untitled
PAV0300	that Bud... that's beer!
PAV0162	Complete Front End Checked by Machine
PAV0019	Untitled
PAV0204	Untitled
PAV0034	Untitled
PAV0060	Untitled
PAV0262	Insure with Great Pacific Life; Pepsi-Cola; and Insular Life
PAV0241	Good Strong Coffee
PAV0138	Untitled
PAV0104	Untitled
PAV0099	Untitled
PAV0304	Refreshing... as the land of sky blue waters
PAV0168	Untitled
PAV0209	Texans Love Real Beer Flavor
PAV0134	Untitled
PAV0305	real gusto in a great light beer
PAV0159	Untitled
PAV0098	Untitled
PAV0050	Serving Every Religion
PAV0256	Aim at Lucky for Fine Tobacco Taste
PAV0188	Cars
PAV0061	stay ''sunshine warm'' all winter
PAV0118	Untitled
PAV0222	Hills Bros. Good Strong Coffee
PAV0232	Untitled
PAV0135	Untitled
PAV0250	Untitled
PAV0095	Untitled
PAV0246	Fines Bouteilles
